序号,披露日期,处罚日期,当事人,当事人类型,处罚类型,罚没金额（元）,违规领域,违规事实,所属总行,处理机构,法律依据,罚没金额分组
14,2016/4/21,2014/9/16,喀喇沁旗农村信用合作联社,法人机构,罚款,50000,内控制度不健全,违规转嫁成本，由贷款客户承担房屋登记费用。,喀喇沁旗农村信用合作联社,赤峰银监分局,《中华人民共和国商业银行法》,A
15,2016/4/21,2014/6/17,鄂尔多斯农村商业银行股份有限公司,法人机构,罚款,200000,信贷业务违规,违规发放贷款,鄂尔多斯农村商业银行股份有限公司,鄂尔多斯银监分局,《中华人民共和国银行业监督管理法》第四十六条,B
16,2016/4/21,2011/12/26,温州银行股份有限公司衢州分行,一级分行,罚款,200000,信贷业务违规,未对借款人提供的证明贷款用途材料进行严格审核，贷款实际用途与约定用途不符。,温州银行股份有限公司,衢州银监分局,《中华人民共和国商业银行法》第三十五条、《中华人民共和国银行业监督管理法》第二十一条第四十六条,B
17,2016/4/21,2011/12/27,上海浦东发展银行股份有限公司衢州支行,其他营业网点,罚款,200000,信贷业务违规,未对借款人提供的证明贷款用途材料进行严格审核，贷款实际用途与约定用途不符，部分被挪用于缴纳土地出让金或转入房地产开发企业。,上海浦东发展银行股份有限公司,衢州银监分局,《流动资金贷款管理暂行办法》第九条、《关于进一步加强信贷管理的通知》（银监办发[2009]221号）、《中华人民共和国商业银行法》第三十五条、《中华人民共和国银行业监督管理法》第二十一条第四十六条,B
18,2016/4/21,2014/12/10,上海浦东发展银行股份有限公司衢州支行,其他营业网点,罚款,200000,信贷业务违规,贷款资金回流并转入关联企业后转存定期存款，用于关联企业开立国内信用证质押。,上海浦东发展银行股份有限公司,衢州银监分局,《中华人民共和国银行业监督管理法》第二十一条第四十六条、《人民币单位存款管理办法》（银发〔1997〕485号）第七条,B
19,2016/4/21,2012/1/18,中国农业银行股份有限公司衢州分行,二级分行,罚款,200000,信贷业务违规,未对借款人提供的证明贷款用途材料进行严格审核，也未采取有效方式监控贷款资金使用。,中国农业银行股份有限公司,衢州银监分局,《中华人民共和国商业银行法》第三十五条、《中华人民共和国银行业监督管理法》第二十一条第四十六条,B
20,2016/4/21,2010/12/31,中国农业银行股份有限公司衢州柯城支行,其他营业网点,罚款,300000,信贷业务违规,违法违规发放农户小额贷款。,中国农业银行股份有限公司,衢州银监分局,《中华人民共和国银行业监督管理法》第二十一条第四十六条,C
21,2016/4/21,2014/12/18,中国建设银行股份有限公司开化支行,其他营业网点,罚款,150000,信贷业务违规,向首付款比例不足的借款人发放个人住房贷款。,中国建设银行股份有限公司,衢州银监分局,《中华人民共和国银行业监督管理法》第二十一条四十六条《个人贷款管理暂行办法》第十三条《关于完善差别化住房信贷政策有关问题的通知》（银发〔2010〕275号）《中国银行业监督管理委员会行政处罚办法》第十五条,B
22,2016/4/21,2008/12/25,苏尼特右旗农村信用合作联社都呼木信用社,其他营业网点,罚款,10000,内控制度不健全,以贷收贷，严重违反审慎经营规则,苏尼特右旗农村信用合作联社,锡林郭勒银监分局,《中华人民共和国银行业监督管理法》第四十六条第五款、《中国银行业监督管理委员会行政处罚办法》第十五条第一款,A
23,2016/4/21,2013/12/25,中国工商银行股份有限公司衢州分行,二级分行,罚款,110000,信贷业务违规,流动资金贷款回流被挪用于固定资产建设。,中国工商银行股份有限公司,衢州银监分局,《流动资金贷款管理暂行办法》第九条第三十九条、《中华人民共和国银行业监督管理法》第四十六条、《中国银行业监督管理委员会行政处罚办法》第十五条,B
24,2016/4/21,2012/12/21,中国农业银行股份有限公司常山县支行,其他营业网点,罚款,200000,信贷业务违规,未严格监控个人贷款资金用途，受托支付流于形式，致使信贷资金被挪用。,中国农业银行股份有限公司,衢州银监分局,《个人贷款管理暂行办法》第七条第三十五条、第四十二条、《中华人民共和国银行业监督管理法》第四十六条,B
25,2016/4/21,2013/12/25,浙江泰隆商业银行股份有限公司衢州分行,一级分行,罚款,100000,信贷业务违规,贷款实际用途与合同约定用途不相符，部分贷款资金流入证券市场购买股票。,浙江泰隆商业银行股份有限公司,衢州银监分局,《个人贷款管理暂行办法》第十三条第三十五条第四十二条、《中华人民共和国银行业监督管理法》第四十六条、《中国银行业监督管理委员会行政处罚办法》第十五条,B
26,2016/4/21,2009/12/8,中国建设银行股份有限公司衢州分行,二级分行,"警告,罚款",100000,票据业务违规,签发无真实贸易背景的银行承兑汇票。,中国建设银行股份有限公司,衢州银监分局,《票据法》第十条、《中国银监会关于票据业务风险提示的紧急通知》（银监通〔2006〕10号）、《金融违法行为处罚办法》第十四条,B
27,2016/4/21,2013/4/27,中国银行股份有限公司龙游县支行,其他营业网点,罚款,100000,"信贷业务违规,内控制度不健全",违反审慎经营规则，未采取有效措施监控贷款资金用途，受托支付流于形式，部分贷款资金被挪用于购买理财等产品。,中国银行股份有限公司,衢州银监分局,《流动资金贷款管理暂行办法》第九条第三十九条、《个人贷款管理暂行办法》第三十五条第四十二条、《中华人民共和国银行业监督管理法》第四十六条、《中国银行业监督管理委员会行政处罚办法》第十五条,B
28,2016/4/21,2012/12/17,上海浦东发展银行股份有限公司衢州支行,其他营业网点,罚款,250000,信贷业务违规,未严格监控贷款资金用途，受托支付流于形式，致使信贷资金被挪用，部分转入房地产开发企业并用于缴纳土地出让款。,上海浦东发展银行股份有限公司,衢州银监分局,《流动资金贷款管理暂行办法》第九条第三十条第三十九条、《中华人民共和国银行业监督管理法》第四十六条,C
29,2016/4/21,2014/12/18,中国工商银行股份有限公司开化支行,其他营业网点,罚款,100000,信贷业务违规,向首付款比例不足的借款人发放个人住房贷款。,中国工商银行股份有限公司,衢州银监分局,《中华人民共和国银行业监督管理法》第二十一条四十六条《个人贷款管理暂行办法》第十三条《关于完善差别化住房信贷政策有关问题的通知》（银发〔2010〕275号）《中国银行业监督管理委员会行政处罚办法》第十五条,B
30,2016/4/21,2009/7/29,温州银行股份有限公司衢州分行,一级分行,"警告,罚款",200000,票据业务违规,违规办理无真实贸易背景的票据业务。,温州银行股份有限公司,衢州银监分局,《票据法》第十条、《中国银监会关于票据业务风险提示的紧急通知》（银监通〔2006〕10号）、《金融违法行为处罚办法》第十四条,B
31,2016/4/21,2011/10/25,中国银行股份有限公司锡林浩特分行,二级分行,罚款,250000,信贷业务违规,发放固定资产贷款，应采取受托支付方式而实际未采取,中国银行股份有限公司,锡林郭勒银监分局,《固定资产贷款管理暂行办法》（中国银行业监督管理委员会令（2009）第2号、《中华人民共和国银行业监督管理法》第四十六条第五款,C
32,2016/4/21,2006/10/9,中国农业银行股份有限公司赤峰红山支行,其他营业网点,罚款,200000,"银行存款业务违规,支付结算业务违规",一是以不代扣代缴个人存款利息税的不正当手段吸收存款。二是将单位资金以个人名义开立账户存储,中国农业银行股份有限公司,赤峰银监分局,《中华人民共和国商业银行法》,B
33,2016/4/21,2008/2/22,中国农业发展银行通辽市科尔沁区支行,其他营业网点,罚款,250000,信贷业务违规,贷前调查和贷后管理不到位。,中国农业发展银行,通辽银监分局,《中华人民共和银行业监督管理法》第四十六条,C
34,2016/4/21,2012/6/25,中国邮政储蓄银行股份有限公司赤峰市分行,二级分行,罚款,50000,内控制度不健全,严重违反审慎经营规则,中国邮政储蓄银行股份有限公司,赤峰银监分局,《中华人民共和国银行业监督管理法》,A
35,2016/4/21,2005/8/8,中国工商银行股份有限公司兴安盟分行,二级分行,罚款,100000,数据报送与治理违规,未按规定及时上报报表、文件。,中国工商银行股份有限公司,兴安银监分局,《中华人民共和国银行业监督管理法》第47条,B
36,2016/4/21,2012/7/4,中国工商银行股份有限公司锡林浩特新区支行,其他营业网点,罚款,200000,"信贷业务违规,内控制度不健全",贷前审查不尽职、贷后管理不到位，严重违反审慎经营规则,中国工商银行股份有限公司,锡林郭勒银监分局,《中华人民共和国银行业监督管理法》第四十六条第五款,B
37,2016/4/21,2009/12/4,浙江开化农村商业银行股份有限公司,法人机构,"警告,罚款",100000,信贷业务违规,贷款资金进入信贷员个人账户。,浙江开化农村商业银行股份有限公司,衢州银监分局,《中华人民共和国商业银行法》第三十五条、《金融违法行为处罚办法》第十六条,B
38,2016/4/21,2014/12/19,浙江开化农村商业银行股份有限公司,法人机构,罚款,300000,数据报送与治理违规,贷款科目使用不当，导致会计、统计报表失真。,浙江开化农村商业银行股份有限公司,衢州银监分局,《中华人民共和国商业银行法》第五十五条、第七十五条,C
39,2016/4/21,2011/12/27,浙江常山农村商业银行股份有限公司,法人机构,"警告,罚款",100000,信贷业务违规,向有核销贷款且未清收的客户新发放贷款。,浙江常山农村商业银行股份有限公司,衢州银监分局,《个人贷款管理暂行办法》第十一条、《金融违法行为处罚办法》第十六条,B
40,2016/4/21,2011/1/19,浙江常山农村商业银行股份有限公司,法人机构,"警告,罚款",100000,信贷业务违规,信贷资金进入信贷员账户，未按实际用途使用。,浙江常山农村商业银行股份有限公司,衢州银监分局,《中华人民共和国商业银行法》第三十五条、《金融违法行为处罚办法》第十六条,B
41,2016/4/21,2011/2/10,浙江衢州柯城农村商业银行股份有限公司,法人机构,"警告,罚款",100000,"信贷业务违规,银行存款业务违规",为完成贷款考核指标通过月末发放、月初收回贷款以及多户转一户的方式虚增存贷款的行为。,浙江衢州柯城农村商业银行股份有限公司,衢州银监分局,《中华人民共和国商业银行法》第三十五条、《金融违法行为处罚办法》第十六条,B
42,2016/4/21,2012/12/17,浙江衢州衢江农村商业银行股份有限公司,法人机构,"警告,罚款",100000,信贷业务违规,信贷资金违规进入股市。,浙江衢州衢江农村商业银行股份有限公司,衢州银监分局,《中华人民共和国商业银行法》第三十五条、《中国银监会关于进一步防范银行业金融机构与证券公司业务往来相关风险的通知》(银监发〔2006〕97号)、《金融违法行为处罚办法》第十八条,B
43,2016/4/21,2009/7/29,浙江衢州衢江农村商业银行股份有限公司,法人机构,"警告,罚款",50000,票据业务违规,违规办理无真实贸易背景的票据业务。,浙江衢州衢江农村商业银行股份有限公司,衢州银监分局,《票据法》第十条、《中国银监会关于票据业务风险提示的紧急通知》（银监通〔2006〕10号）、《金融违法行为处罚办法》第十四条,A
44,2016/4/20,2014/8/8,包头农村商业银行股份有限公司,法人机构,罚款,200000,票据业务违规,该行违规办理银行承兑汇票业务。,包头农村商业银行股份有限公司,包头银监分局,《中华人民共和国银行业监督管理法》第四十六条,B
45,2016/4/20,2007/12/25,包头农村商业银行股份有限公司,法人机构,罚款,100000,信贷业务违规,2007年，该社违规以贷款作银行承兑汇票保证金。,包头农村商业银行股份有限公司,包头银监分局,《中华人民共和国银行业监督管理法》第四十六条,B
46,2016/4/20,2008/6/2,内蒙古土默特右旗农村商业银行股份有限公司,法人机构,罚款,5130,内控制度不健全,2008年，该社贷款违规收取手续费。,内蒙古土默特右旗农村商业银行股份有限公司,包头银监分局,《金融违法行为处罚办法》第十六条,A
47,2016/4/20,2015/12/21,扎兰屯市农村信用合作联社,法人机构,罚款,350000,"信贷业务违规,内控制度不健全",该联社在信贷管理中存在严重违反审慎经营规则的问题。,扎兰屯市农村信用合作联社,呼伦贝尔银监分局,《中华人民共和国银行业监督管理法》第二十一条和第四十六条第五项”,D
48,2016/4/20,2013/12/11,扎兰屯市农村信用合作联社,法人机构,罚款,200000,内控制度不健全,严重违反审慎经营规则,扎兰屯市农村信用合作联社,呼伦贝尔银监分局,《中华人民共和国银行业监督管理法》第四十六条、《中华人民共和国行政处罚法》第四条第二款，第二十七条第（四）项,B
49,2016/4/20,2015/6/19,固阳县农村信用合作联社,法人机构,罚款,200000,信贷业务违规,该社违规发放假、冒名贷款。,固阳县农村信用合作联社,包头银监分局,《中华人民共和国银行业监督管理法》第四十六条,B
50,2016/4/20,2015/11/2,成都银行股份有限公司锦江支行,其他营业网点,罚款,200000,信贷业务违规,未严格执行贷款受托支付。未跟踪检查贷款资金使用情况。,成都银行股份有限公司,四川银监局,《中华人民共和国银行业监督管理法》第四十六条,B
51,2016/4/20,2015/11/2,成都银行股份有限公司高升桥支行,其他营业网点,罚款,300000,信贷业务违规,贷款支付管理不严致贷款资金被挪用。贷后管理缺失。,成都银行股份有限公司,四川银监局,《中华人民共和国银行业监督管理法》第四十六条,C
52,2016/4/20,2008/10/24,中国工商银行股份有限公司满洲里分行,二级分行,罚款,100000,内控制度不健全,严重违反审慎经营规则。,中国工商银行股份有限公司,呼伦贝尔银监分局,《中华人民共和国银行业监督管理法》第四十六条、《中华人民共和国行政处罚法》第二十七条第一项,B
53,2016/4/20,2008/10/17,中国银行股份有限公司呼伦贝尔市分行,二级分行,罚款,200000,内控制度不健全,严重违反审慎经营规则。,中国银行股份有限公司,呼伦贝尔银监分局,《中华人民共和国银行业监督管理法》第四十六条,B
54,2016/4/20,2008/9/24,中国农业发展银行呼伦贝尔市分行,二级分行,罚款,200000,内控制度不健全,严重违反审慎经营规则。,中国农业发展银行,呼伦贝尔银监分局,《中华人民共和国银行业监督管理法》第四十六条,B
55,2016/4/20,2009/2/23,中国邮政储蓄银行股份有限公司扎兰屯市柴河镇营业所,其他营业网点,罚款,20000,金融许可证违规,丢失许可证未按规定向监管部门报告,中国邮政储蓄银行股份有限公司,呼伦贝尔银监分局,《金融许可证管理办法》第十六条第（三）项,A
56,2016/4/20,2014/9/17,中国工商银行股份有限公司呼伦贝尔海拉尔支行,其他营业网点,罚款,100000,内控制度不健全,未按规定定收取手续费。,中国工商银行股份有限公司,呼伦贝尔银监分局,《中华人民共和国商业银行法》第五条,B
57,2016/4/20,2009/9/22,四川天府银行股份有限公司成都分行,一级分行,罚款,200000,"票据业务违规,支付结算业务违规,反洗钱业务违规",超内部审批权限办理银行承兑汇票业务。逆程序办理银行承兑汇票业务和贴现业务。银行承兑汇票业务的保证金来自本行贷款。大额可疑账户交易未报告。,四川天府银行股份有限公司,四川银监局,《中华人民共和国银行业监督管理法》第四十六条,B
58,2016/4/20,2007/1/30,成都银行股份有限公司武侯支行,其他营业网点,罚款,200000,信贷业务违规,贷款“三查”制度执行不到位。对客户办理个人住房“假按揭”未能及时发现并采取措施进行纠正，贷款抵押担保未落实。贷款资金被违规挪用于缴纳土地出让金及规费。,成都银行股份有限公司,四川银监局,《中华人民共和国银行业监督管理法》（2003年）第四十五条,B
59,2016/4/20,2015/11/2,成都银行股份有限公司新津支行,其他营业网点,罚款,300000,信贷业务违规,因贷前调查不尽职造成在项目资本金未到位的情况下即发放贷款。用贷款资金归还到期贷款。,成都银行股份有限公司,四川银监局,《中华人民共和国银行业监督管理法》第四十六条,C
60,2016/4/20,2005/1/29,中国农业银行股份有限公司包头东河支行,其他营业网点,罚款,250000,信贷业务违规,2005年，该行工作人员违规办理办理定期存款和贷款，套取银行信贷资金。,中国农业银行股份有限公司,包头银监分局,《中国银行业监督管理法》第四十五条四十七条,C
61,2016/4/20,2007/10/9,中国工商银行股份有限公司包头东河支行,其他营业网点,罚款,300000,银行存款业务违规,2007年，该行工作人员盗窃自动柜员机库款。,中国工商银行股份有限公司,包头银监分局,《中华人民共和国银行业监督管理法》第四十六条,C
62,2016/4/20,2015/11/2,成都银行股份有限公司高新支行,其他营业网点,"罚款,没收违法所得",167280,内控制度不健全,向授信客户转嫁房屋抵押登记费。,成都银行股份有限公司,四川银监局,《中华人民共和国商业银行法》第七十三条,B
63,2016/4/20,2007/10/9,中国农业银行股份有限公司包头昆都仑支行,其他营业网点,罚款,250000,员工行为管理不到位,该行工作人员挪用客户资金。,中国农业银行股份有限公司,包头银监分局,《中华人民共和国银行业监督管理法》四十六条,C
64,2016/4/20,2005/1/13,中国农业银行股份有限公司包头汇通支行,其他营业网点,罚款,500000,"信贷业务违规,员工行为管理不到位",2004年，该行工作人员挪用联行资金，违规办理质押贷款。,中国农业银行股份有限公司,包头银监分局,《中华人民共和国银行业监督管理法》第四十五条四十七条,D
65,2016/4/20,2010/1/27,成都银行股份有限公司,法人机构,罚款,200000,票据业务违规,签发无真实贸易背景银行承兑汇票,成都银行股份有限公司,四川银监局,《中华人民共和国银行业监督管理法》第四十六条,B
66,2016/4/19,2016/3/31,广州从化柳银村镇银行股份有限公司,法人机构,罚款,550000,内控制度不健全,违反规定提高存款利率、违规收取财务顾问费,广州从化柳银村镇银行股份有限公司,广东银监局,《中华人民共和国商业银行法》第四十七条第五十条第七十三条、《商业银行服务价格管理办法》第十八条、《中国银监会关于整治银行业金融机构不规范经营的通知》、《中华人民共和国银行业监督管理法》第四十五条,E
67,2016/4/19,2015/11/26,兴业银行股份有限公司德阳分行,二级分行,罚款,200000,"票据业务违规,内控制度不健全",严重违反审慎经营规则，办理银行承兑汇票业务未对担保金来源真实性进行审核，导致银行贷款资金为银行承兑汇票提供担保。,兴业银行股份有限公司,德阳银监分局,《中华人民共和国银行业监督管理法》第四十六条,B
68,2016/4/19,2015/11/19,中国民生银行股份有限公司德阳分行,二级分行,罚款,400000,"票据业务违规,内控制度不健全",严重违反审慎性经营规则，办理银行承兑汇票业务未对担保金来源真实性进行审核，导致银行贷款作为银行承兑汇票保证金,中国民生银行股份有限公司,德阳银监分局,《中华人民共和国银行业监督管理法》第四十六条,D
69,2016/4/19,2009/9/25,中国农业银行股份有限公司中江县支行,其他营业网点,罚款,50000,"信贷业务违规,内控制度不健全",违反审慎性经营规则，对贷后资金使用情况监控不力，致使向逢春制药发放的信贷资金被借款人挪用于资产和股权的收购。,中国农业银行股份有限公司,德阳银监分局,《中华人民共和国银行业监督管理法》第四十六条,A
70,2016/4/19,2006/6/30,中国工商银行股份有限公司德阳分行,二级分行,罚款,200000,"信贷业务违规,内控制度不健全",存在通过“化整为零”方式越权向禾嘉集团发放贷款、对禾嘉集团部分贷款申请未认真开展贷前尽职调查，对借款企业擅自变更贷款合同用途未采取必要的控制措施等违反审慎性经营规则的违法行为。,中国工商银行股份有限公司,德阳银监分局,《中华人民共和国银行业监督管理法》第四十七条,B
71,2016/4/19,2010/6/22,长城华西银行股份有限公司罗江支行,其他营业网点,罚款,200000,"票据业务违规,内控制度不健全",违反审慎性经营规则，违规办理无真实贸易背景的票据业务5000万元。,长城华西银行股份有限公司,德阳银监分局,《中华人民共和国银行业监督管理法》第四十六条,B
72,2016/4/19,2015/11/16,上海浦东发展银行股份有限公司德阳分行,二级分行,罚款,300000,银行存款业务违规,违规以贷转存虚增存贷款规模。,上海浦东发展银行股份有限公司,德阳银监分局,《中华人民共和国商业银行法》第七十四条,C
73,2016/4/19,2015/11/26,中国银行股份有限公司德阳分行,二级分行,罚款,200000,同业业务违规,违法为同业投资提供隐性担保，并承担实质性风险。,中国银行股份有限公司,德阳银监分局,《中华人民共和国银行业监督管理法》第四十六条,B
74,2016/4/18,2012/7/11,甘肃静宁农村商业银行股份有限公司,法人机构,罚款,30000,金融许可证违规,石咀信用社伪造金融许可证,甘肃静宁农村商业银行股份有限公司,平凉银监分局,《金融许可证管理办法》第十四条和第十六条,A
75,2016/4/18,2006/10/18,中国银行股份有限公司嘉峪关分行,二级分行,罚款,80450,"票据业务违规,信用卡业务违规",违反规定办理票据贴现业务。违规办理信用卡临时授信，准予信用卡超额取现和透支。,中国银行股份有限公司,嘉峪关银监分局,《金融违法行为处罚办法》第十四条,B
76,2016/4/15,2005/3/14,江苏邳州农村商业银行股份有限公司,法人机构,"警告,罚款",46322,信贷业务违规,越权发放贷款;贷款利率执行不准确,江苏邳州农村商业银行股份有限公司,徐州银监分局,《金融违法行为处罚办法》第十六条第二款,A
77,2016/4/15,2015/9/30,常州金坛兴福村镇银行有限责任公司,法人机构,罚款,300000,信贷业务违规,违规将贷款分类由次级类调整为关注类,常州金坛兴福村镇银行有限责任公司,常州银监分局,《中华人民共和国银行业监督管理法》第二十一条第三款第四十六条第（五）项、《中国银行业监督管理委员会关于印发&lt;贷款分类指引&gt;的通知》（银监发〔2007〕54号）第四条第（一）（三）项,C
78,2016/4/15,2015/8/25,招商银行股份有限公司无锡分行,一级分行,罚款,200000,票据业务违规,办理银票卖断和逆回购业务未发生票据交接,招商银行股份有限公司,无锡银监分局,《中华人民共和国银行业监督管理法》第四十六条第（五）项、《中华人民共和国行政处罚法》第二十七条,B
79,2016/4/15,2004/4/27,交通银行股份有限公司无锡分行,一级分行,罚款,10000,内控制度不健全,未经批准更换高级管理人员,交通银行股份有限公司,无锡银监分局,《金融机构高级管理人员任职资格管理办法》第三十三条第（一）项、《金融违法行为处罚办法》第六条第（四）项,A
80,2016/4/15,2008/9/8,中国工商银行股份有限公司常州分行,二级分行,罚款,200000,内控制度不健全,未经任职资格审查任命高级管理人员,中国工商银行股份有限公司,常州银监分局,《中华人民共和国银行业监督管理法》第四十六条、《中国银行业监督管理委员会中资商业银行行政许可事项实施办法》第一百二十一条,B
81,2016/4/15,2015/9/21,江苏银行股份有限公司常州分行,一级分行,罚款,250000,信贷业务违规,违规以贷转存,江苏银行股份有限公司,常州银监分局,《中华人民共和国银行业监督管理法》第四十六条第（五）项、《中国银行业监督管理委员会关于整治银行业金融机构不规范经营的通知》（银监发〔2012〕3号）,C
82,2016/4/15,2010/10/12,中国工商银行股份有限公司徐州分行,二级分行,罚款,100000,内控制度不健全,未经任职资格审查任命高级管理人员,中国工商银行股份有限公司,徐州银监分局,《中华人民共和国银行业监督管理法》第四十六条第（一）项、《中国银行业监督管理委员会行政处罚办法》第十五条第（一）项,B
83,2016/4/15,2013/3/26,中国银行股份有限公司常州分行,二级分行,"警告,罚款",60000,信贷业务违规,超出借款人实际资金需求发放流动资金贷款；未按规定进行贷款资金支付管理与控制,中国银行股份有限公司,常州银监分局,《中华人民共和国银行业监督管理法》第四十六条、《中国银行业监督管理委员会行政处罚办法》第十五条,A
84,2016/4/15,2015/9/21,中国民生银行股份有限公司常州支行,其他营业网点,罚款,250000,信贷业务违规,违规以贷转存,中国民生银行股份有限公司,常州银监分局,《中华人民共和国银行业监督管理法》第四十六条第（五）项、《中国银行业监督管理委员会关于整治银行业金融机构不规范经营的通知》（银监发〔2012〕3号）,C
85,2016/4/15,2015/4/3,中国邮政储蓄银行股份有限公司无锡市分行,二级分行,罚款,200000,"信贷业务违规,银行存款业务违规","违反规定提高或者降低利率以及采用其他不正当手段,吸收存款，发放贷款",中国邮政储蓄银行股份有限公司,无锡银监分局,《中华人民共和国银行业监督管理法》第四十五条第（四）项、《中华人民共和国商业银行法》第七十四条第（三）项,B
86,2016/4/15,2015/10/12,江苏银行股份有限公司徐州分行,一级分行,罚款,450000,银行存款业务违规,违反规定采用不正当手段，吸收存款,江苏银行股份有限公司,徐州银监分局,《中华人民共和国商业银行法》第七十四条第（三）项、《中国银行业监督管理委员会行政处罚办法》第十五条第（一）项,D
87,2016/4/15,2015/9/8,中国邮政储蓄银行股份有限公司徐州市分行,二级分行,罚款,250000,票据业务违规,贴现资金回流出票人；未按规定进行贷款资金支付管理与控制,中国邮政储蓄银行股份有限公司,徐州银监分局,《中华人民共和国银行业监督管理法》第四十六条第（五）项,C
88,2016/4/15,2013/6/24,中国工商银行股份有限公司徐州分行,二级分行,罚款,200000,数据报送与治理违规,提供虚假的或者隐瞒重要事实的报表,中国工商银行股份有限公司,徐州银监分局,《中华人民共和国银行业监督管理法》第四十六条、《商业银行法》第七十五条,B
89,2016/4/15,2015/9/8,兴业银行股份有限公司徐州分行,二级分行,罚款,250000,票据业务违规,签发无真实贸易背景的银行承兑汇票;银行承兑汇票业务未收集增值税专用发票,兴业银行股份有限公司,徐州银监分局,《中华人民共和国银行业监督管理法》第四十六条第（五）项,C
90,2016/4/15,2014/12/8,江苏江阴农村商业银行股份有限公司,法人机构,罚款,200000,银行存款业务违规,为个人客户办理大额储蓄取款转存或还贷款业务时，先存后取逆程序操作,江苏江阴农村商业银行股份有限公司,无锡银监分局,《中华人民共和国银行业监督管理法》第四十六条,B
